nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
2,0.19360989131867087,6,0,1.1893864197530877,0.6111111111111109,0.5520007209805335,1.0435259842630489,4.005315082644323,0,1,0.2762929288806347,3,1,1,4.548688113203415,0.0,2,1,0,0.0716845878136201,2.0140277777777778
2,0.1873309571391312,7,1,0.08099444444444412,0.6566358024691357,0.479081206980463,0.6955609558696244,8.001917557710877,0,1,0.3089255650988789,4,1,1,4.648955904159993,4.39041504767482,2,1,0,0.08080808080808084,1.6760648148148147
2,0.1753093497083927,7,2,-1.7652496900826442,0.6461776859504134,0.5364048744858341,0.6416486015832351,8.00290883030411,0,1,0.6283426016716103,3,1,0,4.7544418457133455,8.78083009534964,2,2,0,0.09259259259259264,1.6329606009070294
0,0.11036065730392663,8,0,-1.2005368678993065,0.5284027623078638,0.5103798073460358,0.5843010246374559,7.009362541438018,0,0,0.3932286679177839,8,0,0,4.558720258223579,0.0,1,1,1,0.07547169811320757,1.8682435561107789
2,0.16346467314902233,8,2,0.024985123966943662,0.6983471074380163,0.4441841781154411,0.6045330397952062,8.002959909602952,0,2,0.5118371904769444,5,1,2,4.9422750844972185,23.74119186987973,3,2,1,0.09302325581395347,1.830101116816485
0,0.14583585450818518,7,0,-3.4508874999999897,0.4520429362880885,0.6116574718157829,0.6451657230803055,7.0104486032964815,0,2,0.4511844635310912,0,0,0,4.2615079488287435,0.0,1,1,0,0.08547008547008553,0.0
0,0.1364124443809034,6,0,0.5992323731138525,0.5531550068587108,0.5913137018861913,1.0600302956353074,4.005296360056831,0,0,0.33093309327558146,9,0,2,4.359364420009927,4.9839785209472085,3,0,0,0.0610021786492375,2.100881260294139
0,0.14278635657833014,5,0,1.2812118016528915,0.5474380165289257,0.591794732011621,0.7928938292562812,7.00827245222462,0,0,0.36504500479682334,7,0,1,4.166582551467688,4.9839785209472085,2,0,0,0.07246376811594206,2.112764392794155
3,0.14715452164553908,7,0,0.5676871587850816,0.5813148788927336,0.6015991802042828,0.8294456164399605,7.008271983994954,0,0,0.33093309327558146,7,0,0,4.873309900752603,0.0,1,0,0,0.0740740740740741,2.0247514329806
2,0.11170964069477876,11,4,1.1409055206611494,0.7517355371900825,0.4727146276767808,0.594646334944309,8.006043054367536,0,3,0.6244637527631023,5,2,2,5.172091077082351,27.529617232593694,2,2,1,0.10239651416122007,1.546734604080383
