nBase,VE2_A,nHetero,nF,ATSC7are,AATSC0d,GATS1dv,GATS1s,BCUTs-1h,nBondsT,C3SP3,Xc-5d,NaasC,NssssC,NaaN,IC2,PEOE_VSA3,nHRing,nARing,nFAHRing,JGI2,MAXaaCH
1,0.1083062350966839,9,0,-2.530601543209856,0.5344444444444443,0.5973454503689666,0.6140801502408303,7.010456742761352,0,0,0.6499686870044307,4,0,0,4.866690179590892,0.0,2,3,0,0.0729166666666667,2.0191410843114235
3,0.147154521645539,7,0,0.5676871587850816,0.5813148788927336,0.6015991802042828,0.8294456164399605,7.008271983994954,0,0,0.3309330932755814,7,0,0,4.873309900752603,0.0,1,0,0,0.0740740740740741,2.0247514329806
3,0.1466053846310689,6,0,0.5650745562130155,0.6360946745562129,0.5631950164744646,0.6578923708646448,7.008271031016049,0,2,0.7965774888802465,3,1,1,4.632944044980959,0.0,3,3,0,0.0795454545454545,2.084320200302343
2,0.1304630285418754,9,3,-1.3285500226346756,0.7007695789950202,0.4721876118868598,0.6064995171760326,8.005283812973046,0,2,0.6862781484555007,4,1,0,4.772569968652882,18.163649875660127,1,2,1,0.0820707070707071,1.8073230826137987
2,0.1415724198302936,11,3,-1.29438047520661,0.7892561983471073,0.3923929230470394,0.6514304670034621,8.0052476997935,0,1,1.4067480763693172,5,2,2,4.998871107126151,19.350776822204907,2,1,0,0.1185185185185185,1.2421759471822602
1,0.102203814451726,11,0,3.598495155709345,0.5951557093425606,0.6667253224313673,0.7189869016008531,7.015041908407962,0,0,0.7872691065219332,5,0,0,5.002453762123606,12.723012975625169,0,1,0,0.0786324786324786,1.912967976978272
1,0.1119858951232498,7,0,-3.740949379108829,0.5830898466033599,0.5801302000212789,0.6955772628104865,7.009365494715589,0,0,0.5733753727577441,5,0,0,4.869922739352083,0.0,1,1,0,0.0750487329434698,1.9803788391085813
1,0.1178616433099717,11,1,-0.2595874699567136,0.6434866207338571,0.6048001986119202,0.6814613550117156,8.001925199161708,0,0,1.054737854124365,6,0,0,5.138728849223843,12.808212032003755,0,1,0,0.0919854280510018,1.9093402460968347
1,0.1007125738081945,12,0,0.7129434325259569,0.6164705882352942,0.6685247039283381,0.7190107723237726,7.015042525225325,0,0,0.7872691065219332,6,0,0,5.038761601266903,12.723012975625169,0,1,0,0.0729684908789386,1.90305283581771
1,0.1379952767367006,7,2,1.2378246229609111,0.5946445060018468,0.5613475968441012,0.6006385026195,8.002963065013232,0,1,0.3343574811438675,4,1,0,4.704140954030752,8.78083009534964,1,1,0,0.0723514211886305,2.121222142923081
2,0.1748086086839509,8,2,-0.2280642499999993,0.6875,0.4953821380848202,0.5887198671683626,8.002959161607487,0,2,0.5118371904769444,4,1,1,4.953055907333278,13.773234827985306,3,2,1,0.0944444444444444,1.7953788945942626
2,0.1539008395886616,12,3,2.9762017999999943,0.7423999999999998,0.4171211674528302,0.6462636836040222,8.007393421302098,0,1,0.9104900943039452,5,2,3,5.101467880199452,14.6497599770396,3,1,0,0.094017094017094,1.8561549577643897
0,0.1479141868138667,10,0,-2.4639734693877537,0.5214493960849645,0.5964462181415952,0.8339149065807401,3.51002766780998,0,0,0.0833333333333333,7,0,3,4.619712139989423,5.425791397110385,2,1,0,0.0454545454545454,1.9545719788718976
2,0.1415724198302936,10,3,0.5843019841269843,0.8004535147392291,0.3832280684304754,0.624520528262282,8.005248629486532,1,1,1.4067480763693172,5,2,1,4.859828661431134,14.3667983012577,2,1,0,0.1185185185185185,1.4018981694044823
0,0.0940596167100812,16,1,0.574526806692773,0.6731933072267712,0.5236771762423078,0.6536912298326246,8.001931077882666,0,2,1.559931739490278,8,1,0,5.366564204338687,17.602749216075576,0,0,0,0.0945083014048531,1.7578944020806393
2,0.1430868022732175,10,2,1.220447107438018,0.8347107438016527,0.4220227638128699,0.6378074378441466,8.002902498665572,0,2,1.4813470359014351,6,2,1,4.788754913993503,18.75721334893252,2,1,0,0.1207729468599034,1.3712380326837397
1,0.1019001524809811,10,0,-0.3374575624999942,0.634375,0.6566102519902405,0.7571632857221501,7.014585808747918,0,0,0.9204313488265112,6,0,0,5.267947965993604,8.417796984328938,2,1,1,0.0774410774410774,1.9865928781084023
2,0.1325795633853296,7,3,-2.277250019223376,0.7089580930411379,0.4955921451560241,0.5824291332706419,8.005280832582011,0,4,0.7543195301994778,4,1,0,4.794878528203584,18.163649875660127,1,3,1,0.0946969696969697,2.1177277841832733
0,0.0796206245531071,9,0,-0.634068721366104,0.6143273635985007,0.4947699383725858,0.6471787043352614,7.010465553756157,0,2,0.9312116824436274,11,0,1,4.9122105190711896,0.0,1,3,1,0.0615796519410977,2.12538168200934
0,0.0925193307138886,16,2,3.0907007124743453,0.6675522279917885,0.5452836420687568,0.6804383023015493,8.002982241864775,0,0,1.2214045207910318,9,0,0,5.3607858880564425,21.9931642637504,0,0,0,0.0843881856540084,1.815300727717031
2,0.2031038268825439,6,1,-1.1891996539792378,0.6894463667820069,0.5657834738667623,0.7582273750511614,8.00191735121659,0,2,0.4285038571436111,3,1,0,4.5358485029514135,9.382819780310488,2,2,1,0.1003584229390681,1.5824537037037036
1,0.1289186356897894,10,1,0.4518566530612512,0.7153061224489795,0.536804035446971,0.7158916085905808,8.001923580867912,0,1,1.2508306395915203,8,1,1,4.946511766666807,17.792190552950963,1,0,0,0.0931899641577061,1.9768923778525096
2,0.2435083067912175,3,0,0.099440816326531,0.6020408163265307,0.6791299734748009,1.3023194466771817,4.005301012879337,0,1,0.2762929288806347,1,1,0,3.838804369244613,0.0,1,1,0,0.0952380952380952,2.117824074074074
0,0.0988597660293265,6,0,-1.474678588235304,0.5813148788927336,0.5818219012710114,0.8715351825717748,3.03558004564166,0,2,0.5272628441723608,8,0,2,4.609160936035892,0.0,2,3,2,0.0539682539682539,2.162323146102352
0,0.0796206245531072,9,0,-0.6340687213661043,0.6143273635985007,0.4947699383725858,0.6471787043352611,7.010465553756148,0,2,0.9312116824436274,11,0,1,4.891802355805883,0.0,1,3,1,0.0615796519410977,2.12538168200934
2,0.1377710129721664,12,3,1.867563648709828,0.7958352195563599,0.4873051005557249,0.6841945297957633,8.005290408359286,0,1,0.4267766952966369,5,1,1,4.9936414479201865,17.792190552950963,2,1,0,0.0833333333333333,1.2765551405364717
2,0.1940476668562204,5,0,0.4043140978816665,0.6603360116873629,0.559483395624284,0.717978738332883,6.027272856166464,1,2,0.3800398276929223,2,1,0,4.648510460165075,4.992404732635669,2,2,1,0.0902777777777778,2.027731481481481
3,0.1240562023635924,8,0,-2.391934027055141,0.6056191467221645,0.5238756774245733,0.7368493235943969,7.009363687169608,0,0,0.4138605412657321,8,0,0,4.529639553653643,0.0,1,0,0,0.0699588477366255,1.9398115548956547
2,0.1224211800828195,9,2,3.4374318339100363,0.8266051518646671,0.4528066582650703,0.5483516115478774,8.00296311117961,1,3,1.0011821466097406,5,2,0,4.814103037837822,8.78083009534964,2,2,1,0.1088888888888889,1.5592333553791886
2,0.1439503908533375,7,1,-1.6490987921699285,0.6205747605164514,0.5342910411348682,0.6231944367288494,8.001919611845187,0,2,0.5463549873413689,3,1,0,4.509832997433216,14.17735696438231,2,2,1,0.0909090909090909,1.8435396499998564
2,0.1315936394544881,11,3,-0.8474829931972785,0.7579365079365078,0.4172648796001817,0.6032952757256519,8.005285090494873,1,2,0.8041292786532587,5,1,2,5.058984089445427,28.13160691755455,3,2,1,0.0950617283950618,1.392832981345788
2,0.1283803732357112,13,5,-2.745181882098425,0.8339643050297458,0.4442156187350511,0.6130928760892703,8.007493199853561,0,2,1.0453949048520428,5,1,1,5.12963946395411,22.84545281080532,2,2,1,0.0983796296296296,1.1157669595616024
2,0.1297491727479683,11,2,2.999020118343187,0.8890532544378694,0.5156786452646983,0.6947866882091227,8.0029158094633,0,2,2.5208313329608805,5,2,2,4.7746903818446,22.182605600625788,3,1,0,0.126984126984127,1.732486438458661
0,0.2835049268762839,4,0,0.1843944636678199,0.6989619377162629,0.6737481031866465,1.0372989216899415,7.0082787804748605,0,0,0.3832766380870198,3,0,0,3.248365046750904,0.0,0,0,0,0.1333333333333334,1.2557407407407406
1,0.105354129594246,20,0,-3.7825985006247342,0.6047480216576427,0.4934362170590854,0.6634030853113497,7.012653009393058,0,2,0.9503178771012998,5,0,4,5.338601170380907,10.255345065426482,2,0,0,0.0826210826210827,1.811369184199184
3,0.149837769821868,7,2,2.016423966942153,0.7210743801652894,0.4158415355297539,0.5873499508109518,8.003005433226587,0,1,1.0385649980206255,6,1,1,4.521154061474927,13.773234827985306,2,1,0,0.1062801932367149,1.7172326152683297
1,0.1676288813887159,4,0,0.0903994617454805,0.5474817377931566,0.7041982283922285,0.5379704825832153,7.008270045693622,0,3,0.4654619543061583,3,0,0,4.007839989234612,0.0,2,2,0,0.0833333333333333,2.2142849082802183
3,0.1312301665902289,8,3,4.31111890352436,0.6393734425062301,0.4428091415771088,0.6069407388160438,8.005276259404281,1,1,0.7558734326568554,4,1,0,4.80801691678653,4.992404732635669,1,1,0,0.0869565217391304,1.800736687938618
1,0.1820070675058688,6,0,-2.0378175802469136,0.5609876543209878,0.5806514284268802,0.5822328532600966,7.008271041903647,0,0,0.3372672270190456,4,0,1,4.146756984930101,4.9839785209472085,2,1,0,0.0722222222222222,2.040512618627698
0,0.1846802594752306,8,0,-1.9882409999999984,0.649375,0.6659826751280573,0.8075399765598914,7.014208331137482,0,0,0.2011844635310912,6,0,2,4.3209505944546684,18.385754026223356,1,0,0,0.0584795321637427,1.9720986942884489
2,0.1477045826949131,7,1,0.3513080295138898,0.7482638888888888,0.4472944009334033,0.7147886671279822,8.001919153068581,0,1,0.7590854434009726,10,1,0,4.761842188131012,9.382819780310488,2,2,1,0.094017094017094,1.86084850298144
3,0.177818837600149,5,0,0.0777775805391267,0.6837606837606834,0.4965156794425088,0.7627286182577281,7.008269620978661,0,1,0.7558734326568551,3,1,0,3.9510663209825614,4.992404732635669,1,1,0,0.1015873015873016,1.9017757936507933
3,0.1546288717018067,7,0,0.8023538525614304,0.6280716368179926,0.5536057692307692,0.6979727081626107,7.008270970554799,0,1,0.7132441555469131,3,1,1,4.75216571132969,0.0,3,2,0,0.0878552971576227,1.8639817176870748
0,0.1386150667298793,7,3,-1.8433227220299888,0.6997308727412536,0.4173289122730097,0.5636630522999524,8.007395414037068,0,0,0.918680395373726,6,1,0,4.5681427868440325,0.0,1,0,0,0.0915032679738562,1.9736230246358315
1,0.1397938881045423,10,2,2.8725536498404955,0.6128729592794147,0.5317214431138482,0.5517737175639196,8.002970408131564,0,2,0.5852871903890683,4,0,0,5.073252298546771,8.78083009534964,2,3,0,0.0699233716475096,1.9143633352335587
